,0
518,most comfortable
519,ridiculously long
520,a little long
521,nice cozy
522,really amazing
523,a little more expensive
524,close to work
525,nice and fresh
526,too pricey
527,really sweet
528,fresh squeezed
529,close to home
530,plain and simple
531,pretty easy
532,wrong with my car
533,really annoying
534,quite impressive
535,food wise
536,still good
537,short on time
538,out of bread
539,run down
540,very honest
541,a bit bland
542,pretty low
543,very thorough
544,much nicer
545,really big
546,dirt cheap
547,so refreshing
548,freshly fried
549,needless to say we
550,out great
551,a little sketchy
552,classic american
553,that good
554,really fun
555,long overdue
556,pretty neat
557,non existent
558,very responsive
559,really disappointing
560,pretty friendly
561,so uncomfortable
562,even close
563,well behaved
564,light and fluffy
565,courteous and friendly
566,friendly and accommodating
567,extremely overpriced
568,how hungry
569,very sensitive
570,friendly and knowledgeable
571,so large
572,very important to me
573,great happy
574,very relaxed
575,dried out
576,sure enough
577,super rude
578,all excellent
579,so huge
580,super comfortable
581,so delicious
582,that much
583,enough great
584,extremely fresh
585,very consistent
586,very nice
587,nice and quiet
588,absolutely worth
589,relatively fast
590,good and friendly
591,good and fast
592,moist and juicy
593,open 24 hrs
594,very friendly and accommodating
595,very light
596,extremely attentive
597,extremely reasonable
598,worth the trip
599,nice and hot
600,fairly decent
601,ready for us
602,very fast
603,how cheap
604,so awful
605,very tasty
606,very apologetic
607,so friendly and helpful
608,enough for me
609,very disappointed
610,just awful
611,nearly empty
612,sit down
613,pretty impressive
614,food good
615,just sad
616,completely disappointed
617,sweet and sour
618,great and friendly
619,most other
620,tastefully decorated
621,very fresh and tasty
622,out of luck
623,other than that
624,freshly squeezed
625,open 24 hours
626,quite reasonable
627,so low
628,very unpleasant
629,excellent too
630,least favorite
631,not really sure
632,very impressed
633,full and happy
634,incredibly nice
635,much smaller
636,fresh at all
637,pretty steep
638,fairly new
639,pretty gross
640,most likely
641,pretty sad
642,more authentic
643,so tough
644,great for the price
645,generally good
646,just mediocre
647,so embarrassed
648,pretty fresh
649,very knowledgeable and friendly
650,family run
651,so much more
652,hot or cold
653,very clean and modern
654,most unprofessional
655,just fantastic
656,very laid
657,most incredible
658,how close
659,any happier
660,super small
661,very many
662,relatively small
663,nice about it
664,very talented
665,friendly at all
666,first and last
667,good to me
668,too short
669,store bought
670,pretty darn
671,extremely unprofessional
672,a bit better
673,pretty amazing
674,as delicious
675,fairly fast
676,so beautiful
677,only down
678,something wrong
679,very awkward
680,hard to describe
681,too little
682,pretty spacious
683,relatively empty
684,totally reasonable
685,perfect for me
686,friendly and great
687,far superior
688,very gentle
689,well made
690,extremely salty
691,particularly good
692,extremely high
693,kind of annoying
694,really high
695,most pleasant
696,the worse
697,much easier
698,pretty basic
699,a bit bigger
700,really cheap
701,patient with me
702,fast and efficient
703,totally worth it
704,nice and spicy
705,very dirty
706,so thankful
707,a tad pricey
708,quite dry
709,really slow
710,quite rude
711,crispy and tasty
712,fairly small
713,good and affordable
714,too watery
715,pretty delicious
716,nice and fluffy
717,very helpful and friendly
718,super hot
719,very extensive
720,good ole
721,delicious too
722,too fancy
723,fresh and good
724,almost nonexistent
725,more upscale
726,more pleasant
727,friendly and prompt
728,crispy and delicious
729,out wrong
730,interested in
731,super impressed
732,exceptionally friendly
733,half priced
734,very nice and helpful
735,super spicy
736,mildly spicy
737,so pleased
738,that great
739,pretty damn good
740,too heavy
741,very special
742,more positive
743,how much better
744,overall great
745,entirely different
746,really special
747,the better
748,lucky for me
749,pretty authentic
750,pretty dead
751,fast and courteous
752,absolutely awful
753,a little tricky
754,so pleasant
755,quite spacious
756,relatively high
757,good but not great
758,warm and welcoming
759,big enough
760,exactly cheap
761,so bland
762,pretty rude
763,so unfriendly
764,extremely bland
765,happy with
766,very friendly and welcoming
767,a bit long
768,vegetarian and vegan
769,impressed with the food
770,fairly cheap
771,most unique
772,the absolute best
773,so easy
774,very awesome
775,easy to miss
776,clean and bright
777,nice and crisp
778,really clean
779,not open
780,much to be desired
781,crazy busy
782,more comfortable
783,very friendly and knowledgeable
784,not impressed
785,very organized
786,closer to my house
787,so friendly and welcoming
788,very open
789,very attentive and nice
790,important to you
791,very minimal
792,half empty
793,really tough
794,really sure
795,next to it
796,just perfect
797,awesome happy
798,pretty sweet
799,very underwhelming
800,pretty sure
801,sick to my stomach
802,least expensive
803,a little nervous
804,highly disappointed
805,just awesome
806,how awesome
807,dog friendly
808,almost impossible
809,wide open
810,quite expensive
811,extremely tasty
812,a little salty
813,really good
814,very friendly
815,loaded baked
816,quick and courteous
817,life changing
818,most affordable
819,extremely stressful
820,so bad
821,a little cramped
822,perfectly acceptable
823,warm and fuzzy
824,glad we did
825,so disappointing
826,very diverse
827,enough about this place
828,busy saturday
829,really happy
830,nice and helpful
831,super packed
832,little pricey
833,cheap and delicious
834,a bit nervous
835,no longer available
836,family owned
837,too high for what you get
838,too close
839,very basic
840,delicious and perfect
841,nice and soft
842,so worth it
843,dry and tasteless
844,both delicious
845,very timely
846,close to my home
847,very tight
848,hot and juicy
849,overall good
850,dry and chewy
851,very wide
852,overly impressed
853,very plain
854,very specific
855,too dry
856,very very nice
857,completely clueless
858,ridiculously good
859,so sick
860,very watered down
861,very mild
862,fully packed
863,not busy
864,good in my book
865,very fresh
866,quick and painless
867,very unfriendly
868,incredibly rude
869,absolutely outstanding
870,very watery
871,any and all
872,way too small
873,super amazing
874,wrong with that
875,too mild
876,very obvious
877,so soft
878,a little tight
879,decent for the price
880,a little too salty
881,wrong with them
882,pretty much every
883,extremely good
884,so shocked
885,the most comfortable
886,somewhat friendly
887,non vegan
888,neat and clean
889,so relaxed
890,a little worried
891,more than satisfied
892,very welcome
893,so that
894,quite different
895,pretty limited
896,owned and operated
897,half hearted
898,busy so
899,hot and cold
900,all friendly
901,supposedly made
902,able to fix my problem after coming out twice
903,very warm
904,as fresh
905,only half full
906,super smooth
907,friendly and clean
908,a true professional
909,fast and attentive
910,very friendly and informative
911,less than average
912,slightly more
913,really quick
914,super long
915,just wrong
916,tough and chewy
917,sad to say
918,good and consistent
919,tried and true
920,short of amazing
921,perfectly honest
922,really really good
923,ready in 10 minutes
924,extremely difficult
925,quite authentic
926,very crunchy
927,clean and neat
928,really disappointed
929,a little much
930,too hungry
931,nice and light
932,happy and full
933,dirty and disgusting
934,happy i did
935,as nice
936,really uncomfortable
937,close to school
938,not free
939,incredibly slow
940,short handed
941,most entertaining
942,pretty happy
943,great as usual
944,so authentic
945,fresh and flavorful
946,clearly visible
947,equally great
948,slightly chewy
949,sooo much
950,clean and great
951,closer to home
952,pretty consistent
953,really tender
954,pretty thin
955,most difficult
956,patient and kind
957,dry on this visit
958,more peaceful
959,most wonderful
960,super flavorful
961,very compassionate
962,almost full
963,fast and prompt
964,so peaceful
965,fine with me
966,really upset
967,really funny
968,very generic
969,so grateful
970,very grateful
971,practically empty
972,pretty packed
973,mouth watering
974,built in
975,pretty hungry
976,closer to me
977,a little higher
978,seriously good
979,not crowded
980,kind of soggy
981,so expensive
982,very unorganized
983,very kind
984,so terrified
985,all great
986,a little odd
987,still great
988,very informative
989,all halal
990,extremely nice and helpful
991,a little annoying
992,soooo good
993,extremely fair
994,very attractive
995,open faced
996,better tasting
997,house made
998,great with her
999,nearly as good
1000,not so great
1001,very cozy
1002,green spicy
1003,really picky
1004,absolutely gorgeous
1005,fresh and yummy
1006,how happy
1007,so high
1008,pretty flavorless
1009,truly great
1010,most interesting
1011,even worth
1012,really fatty
1013,super salty
1014,home made
1015,very narrow
1016,so perfect
1017,as amazing
1018,absolutely incredible
1019,enough nice
1020,better or worse
1021,most awkward
1022,pretty disgusting
1023,very comforting
1024,better than nothing
1025,tender and tasty
1026,soft and yummy
1027,really excited
1028,bigger and better
1029,pretty picky
1030,dry and flavorless
1031,little better
1032,very important
1033,tender juicy
1034,pretty clear
1035,very positive
1036,absolute best
1037,half bad
1038,moderately priced
1039,quite low
1040,very solid
1041,extremely loud
1042,so little
1043,extra large
1044,really expensive
1045,nicely decorated
1046,so nasty
1047,full of flavour
1048,so terrible
1049,long hot
1050,great for groups
1051,really neat
1052,courteous and professional
1053,most disgusting
1054,extra spicy
1055,cheap too
1056,nice and strong
1057,worth 5 stars
1058,overcooked and dry
1059,the ayce japanese
1060,very appetizing
1061,cheap and good
1062,fresh and crunchy
1063,a little crowded
1064,poorly managed
1065,the bad
1066,good fried
1067,warm and fresh
1068,perfectly crispy
1069,short and sweet
1070,as best
1071,stir fried
1072,really hard
1073,friendly attentive
1074,nearly impossible
1075,friendly and warm
1076,a bit tough
1077,money hungry
1078,consistently great
1079,easy to get to
1080,chinese korean
1081,not clean
1082,really pleasant
1083,a little sad
1084,slightly above
1085,super bland
1086,pretty extensive
1087,extremely easy
1088,right on the money
1089,absolutely no
1090,super quick
1091,definitely good
1092,good tasting
1093,very dense
1094,so slow
1095,even bigger
1096,completely free
1097,incredibly helpful
1098,chinese and korean
1099,quite empty
1100,not cheap
1101,so thinly
1102,so inexpensive
1103,too bright
1104,really spicy
1105,extremely friendly and professional
1106,plastic like
1107,pretty chill
1108,how sad
1109,how tasty
1110,god awful
1111,well decorated
1112,very reliable
1113,so flavourful
1114,not horrible
1115,really pricey
1116,completely satisfied
1117,very competent
1118,about average
1119,pretty annoying
1120,amazing and delicious
1121,nice looking
1122,medium sized
1123,right on
1124,completely sure
1125,out of stock
1126,really low
1127,downright rude
1128,ready to leave
1129,very minor
1130,hot enough
1131,perfect for lunch
1132,about right
1133,good but nothing special
1134,slightly larger
1135,loud enough
1136,super accommodating
1137,all really good
1138,very knowledgable
1139,nice covered
1140,very confusing
1141,less sweet
1142,small sized
1143,quite loud
1144,extremely greasy
1145,so strong
1146,incredibly long
1147,slightly sweet
1148,first and only
1149,made to order
1150,good check
1151,sure you are satisfied
1152,equally amazing
1153,close to me
1154,quite impressed
1155,clean and friendly
1156,very pricey
1157,super yummy
1158,very lucky
1159,still warm
1160,vegan friendly
1161,quick and attentive
1162,very competitive
1163,hard to do
1164,really enjoyable
1165,very appealing
1166,so thin
1167,super nice and helpful
1168,professional and friendly
1169,especially good
1170,kind of empty
1171,not to love
1172,very polite and helpful
1173,a bit skeptical
1174,pretty pricey
1175,very rough
1176,all very nice
1177,seasoned perfectly
1178,more detailed
1179,always friendly
1180,comfortable and welcome
1181,this difficult
1182,more popular
1183,most flavorful
1184,very inconsistent
1185,pretty crowded
1186,entirely too much
1187,walk in
1188,pleased with the service
1189,open on sundays
1190,pain free
1191,all customers important
1192,so damn good
1193,kind of bland
1194,a little too sweet
1195,sure we will be back
1196,a bit expensive
1197,great to try a new place for breakfast
1198,two years old
1199,hectic at times
1200,quick for the waitress
1201,terrible about the entire incident
1202,pull up
1203,stressful or unnecessary
1204,delighted to assist our family
1205,generous with the a 40 gratuity tip
1206,easy to understand
1207,red and white
1208,too full
1209,great laid
1210,truly amazing
1211,quite long
1212,amazingly delicious
1213,enough of
1214,close enough
1215,totally awesome
1216,incredibly good
1217,friendly and nice
1218,really talented
1219,huge and delicious
1220,definitely better
1221,hard to beat
1222,a little less expensive
1223,very chewy
1224,very social
1225,slightly spicy
1226,very pleasing
1227,fresh and authentic
1228,way too sweet
1229,really old
1230,so lucky
1231,super excited
1232,so weak
1233,full of msg
1234,even apologetic
1235,quite salty
1236,most depressing
1237,really crowded
1238,very clean and comfortable
1239,a little confusing
1240,free happy
1241,very late
1242,completely new
1243,too dense
1244,super nice and attentive
1245,so nice and helpful
1246,very vague
1247,fairly long
1248,as clean
1249,loud and obnoxious
1250,super convenient
1251,how disappointed
1252,wrong with anything
1253,really full
1254,black and blue
1255,special about it
1256,locally sourced
1257,pleased with the food
1258,very rich
1259,marginally better
1260,service oriented
1261,way more
1262,a bit odd
1263,fairly tasty
1264,easy to find
1265,good or bad
1266,too fatty
1267,so friendly and professional
1268,absolutely fantastic
1269,friendly and welcoming
1270,a tad high
1271,great spicy
1272,fairly simple
1273,nice comfortable
1274,much cheaper
1275,best japanese
1276,very noisy
1277,a little awkward
1278,very happy with my experience
1279,all worth
1280,authentic japanese
1281,fast casual
1282,absolutely fabulous
1283,extremely pleased
1284,clean and nice
1285,really flavourable
1286,attentive nice and considerate
1287,pick up
1288,exceptionally bad
1289,not overcooked
1290,oddly enough
1291,extra friendly
1292,more professional
1293,very attentive and kind
1294,free soft
1295,not too salty
1296,very understanding
1297,longer than usual
1298,sure we were happy
1299,moist and tender
1300,accustomed to
1301,more wrong
1302,barely enough
1303,pretty cramped
1304,too nice
1305,very expensive
1306,pretty shocked
1307,very reasonable
1308,necessarily bad
1309,very pleased
1310,slightly pricier
1311,well informed
1312,extraordinarily delicious
1313,a lot less
1314,sure i was comfortable at all times
1315,personable at all
1316,decent for what you get
1317,worried about
1318,very nice and knowledgeable
1319,old and new
1320,very prompt
1321,out of it
1322,good not great
1323,soft and fresh
1324,out of prime rib
1325,a bit undercooked
1326,small cozy
1327,dishonest with me
1328,very safe
1329,especially great
1330,very clean
1331,nice open
1332,not as good
1333,open on weekends
1334,very patient with me and helpful
1335,even less
1336,good and very friendly
1337,quite welcoming
1338,completely unsatisfied
1339,good and moist
1340,rich and flavorful
1341,a bit dark
1342,very legit
1343,new and clean
1344,really rude
1345,good but not worth
1346,so enthusiastic
1347,consistent and great
1348,very disorganized
1349,exceptionally good
1350,close to my hotel
1351,normal sized
1352,sour enough
1353,sure i was ok
1354,so caring and attentive
1355,very empty
1356,awesome too
1357,great and efficient
1358,moist and delicious
1359,very courteous and professional
1360,always consistent
1361,very flavorful
1362,smaller and thicker
1363,rock hard
1364,so enormous
1365,as thick
1366,more relaxed
1367,fairly high
1368,hot and cheesy
1369,good and worth
1370,terrific too
1371,very modest
1372,available on weekends
1373,very economical
1374,very tired
1375,mushy and bland
1376,very upscale
1377,delicious and so fresh
1378,so tempting
1379,as salty
1380,very shady
1381,so so
1382,non spicy
1383,bad but not great
1384,great relaxing
1385,recently opened
1386,left hungry
1387,if possible
1388,violently ill
1389,quite pricey
1390,super fast and efficient
1391,too rough
1392,bowl lunch special
1393,so pleasantly surprised
1394,far from where i work
1395,a little pricey but worth it
1396,very helpful
1397,so attentive
1398,so fatty
1399,better than perfect
1400,a bit much for me
1401,good other than the fact
1402,absolutely horrible
1403,excited about
1404,not recommended
1405,fairly standard
1406,very plentiful
1407,amazingly enough
1408,really chill
1409,as busy
1410,ready for it
1411,quick and relatively painless
1412,quick to respond
1413,very attentive and friendly
1414,alright too
1415,new to charlotte
1416,super nice and friendly
1417,clean and decent
1418,wonderful and kind
1419,red spicy
1420,sure you need nothing for the best dining experience
1421,better than top5
1422,super blurry
1423,very blurry
1424,just shy
1425,extremely dirty
1426,really nice and clean
1427,very professional and friendly
1428,so mad
1429,pretty positive
1430,very friendly and fast
1431,all pretty good
1432,full of water
1433,super friendly and accommodating
1434,dry and overcooked
1435,able to
1436,very delicious
1437,rather clean
1438,both sick
1439,it not
1440,good and quick
1441,non sushi
1442,pretty spicy
1443,rude at all
1444,so excited this place exists
1445,fantastic vietnamese
1446,happy you did
1447,all american
1448,clean at all
1449,extremely detail oriented
1450,happy with the food
1451,kind of gross
1452,cost effective
1453,twice as much
1454,so sad
1455,horribly slow
1456,ridiculously cheap
1457,japanese and chinese
1458,regular and spicy
1459,so ridiculous
1460,too limited
1461,hand written
1462,well thought out
1463,they open
1464,helpful at all
1465,quite light
1466,ever present
1467,amazingly low
1468,close to our house
1469,quick enough
1470,fast enough
1471,big and clean
1472,way overcooked
1473,very clean and nice
1474,unbelievably rude
1475,very balanced
1476,very frequent
1477,limp and greasy
1478,so dishonest
1479,then sure
1480,small but okay
1481,how sick
1482,better from here
1483,very appreciative
1484,as good or better
1485,task oriented
1486,a little closer
1487,better than ever
1488,small and cluttered
1489,completely comfortable
1490,super sweet and very attentive
1491,soft and fluffy
1492,soft and flavorful
1493,happy with their choices
1494,expensive at all
1495,time consuming
1496,a little sour
1497,absolutely awesome
1498,somewhat limited
1499,pretty juicy
1500,very happy
1501,really awful
1502,hard to swallow
1503,slightly disappointed
1504,completely clear
1505,pretty good in general
1506,more efficient
1507,tender and nicely seasoned
1508,incredibly fresh
1509,devine and creative
1510,delicious and flavorful
1511,a little more generous
1512,better and cheaper
1513,aware of
1514,tender and flavorful
1515,so funny
1516,slightly better
1517,healthy and affordable
1518,only nice
1519,surprisingly huge
1520,out hot and fresh
1521,clean and well decorated
1522,okay at best
1523,so greasy
1524,pretty new
1525,quite big
1526,too adventurous
1527,special but fine
1528,super fantastic
1529,all right
1530,even open
1531,kid friendly
1532,super knowledgeable
1533,extremely professional
1534,well managed
1535,excited to try it
1536,horribly sick
1537,bad to say about them
1538,bad to say
1539,absolutely disgusting
1540,as good as any steakhouse
1541,extremely long
1542,so knowledgable
1543,even half full
1544,prompt and professional
1545,more tender
1546,any worse
1547,really undercooked
1548,ok nothing special
1549,always good
1550,particularly amazing
1551,empty handed
1552,expensive but worth
1553,very oily
1554,fairly speedy
1555,super friendly and knowledgeable
1556,friendly and pleasant
1557,most horrible
1558,really mad
1559,delicious looking
1560,upper and lower
1561,very sick
1562,totally unacceptable
1563,relatively inexpensive
1564,pretty darn good
1565,really fantastic
1566,plain weird
1567,just bad
1568,somewhat reasonable
1569,better than others
1570,convenient for me
1571,nearly nonexistent
1572,very helpful and kind
1573,so dangerous
1574,attentive and quick
1575,able to eat our food
1576,ok ill
1577,intimate and cozy
1578,very very greasy
1579,sorry for you
1580,so so amazing
1581,really done
1582,attentive and fast
1583,a bit packed
1584,dark swampy green
1585,ok for me
1586,a bit too salty
1587,full sized
1588,always busy
1589,totally unnecessary
1590,pretty subpar
1591,perfectly balanced
1592,so nervous
1593,well deserved
1594,very nice and pleasant
1595,total for
1596,less than friendly
1597,somewhat dry
1598,well prepared
1599,most successful
1600,pretty awful
1601,so nice and personable
1602,extremely accommodating
1603,prompt and pleasant
1604,really simple
1605,easy enough
1606,clean and quiet
1607,completely flavorless
1608,more than fair
1609,very nice and honest
1610,completely full
1611,open and airy
1612,very fast and efficient
1613,extremely happy
1614,very friendly and professional
1615,good sized
1616,self proclaimed
1617,funny enough
1618,very likable
1619,barely edible
1620,very attentive and helpful
1621,a bit tight
1622,absolutely unacceptable
1623,right around the corner
1624,a bit uncomfortable
1625,nice and warm
1626,most common
1627,quite yummy
1628,perfect for sharing
1629,some more
1630,so hopeful
1631,super soft
1632,a little grainy
1633,so heavy
1634,really peppery
1635,fantastic and full
1636,old fashioned
1637,not frozen
1638,overly greasy
1639,awesome and cheap
1640,damn this
1641,sick of
1642,clean and well maintained
1643,happy with it
1644,really pathetic
1645,good for the soul
1646,extremely caring
1647,so sweet and kind
1648,more crowded
1649,great and helpful
1650,very close
1651,as much of a problem
1652,happy with this place
1653,too weak
1654,right for you
1655,broth based
1656,very tasty and flavourful
1657,thinly cut
1658,great for a snack
1659,very chill
1660,enough to recommend the successor to fisher s
1661,surprisingly available at this restaurant run by the excellent quagliata restaurant family
1662,pretty minimal
1663,very cramped
1664,very strict
1665,too soft
1666,fairly big
1667,extremely hungry
1668,nothing amazing
1669,extremely unethical
1670,very very careful going to this facility they are extremely conniving
1671,very close by
1672,especially nice
1673,good quality
1674,too good to be true
1675,most vietnamese
1676,worth coming back for
1677,so gracious
1678,highly regarded
1679,comfortable in
1680,polite and efficient
1681,very nice and welcoming
1682,so happy i did
1683,easy to use
1684,as honest
1685,so difficult
1686,as impressed
1687,bigger than my head
1688,completely relaxed
1689,kind of pricey
1690,a bit late
1691,cheap and cheerful
1692,amazing as well
1693,good as always
1694,very attentive and caring
1695,honest and good
1696,fair and competitive
1697,so inclined
1698,somewhat overcooked
1699,simple and straight
1700,all beef
1701,definitely unique
1702,smaller sized
1703,super cheap
1704,incredibly salty
1705,so fast
1706,very filling
1707,a little frustrating
1708,really really good and cooked fresh
1709,not like burgers
1710,reasonable for day
1711,just basic
1712,not bad at all
1713,quite thin
1714,extremely aggressive
1715,more convenient for her
1716,able to get up and use the restroom
1717,too hard to look into and easier to push me out
1718,unsure of what to expect
1719,so very grateful
1720,exactly sure
1721,right with me
1722,well good
1723,really crispy
1724,hard as a rock
1725,nice refreshing
1726,absolutely hilarious
1727,more flavourful
1728,super professional
1729,most exciting
1730,a little cold
1731,incredibly hard
1732,ok not great
1733,hand mixed
1734,not cool
1735,simple but great
1736,a bit awkward
1737,fine with it
1738,completely fair
1739,so grateful for this service
1740,only okay
1741,too crazy
1742,just as good
1743,warm out
1744,cold and rubbery
1745,very upset
1746,most friendly
1747,happy with the taste and portions
1748,most annoying
1749,12 years old
1750,glad i tried it
1751,as painful
1752,how fast
1753,something missing
1754,fully satisfied
1755,nicely seasoned
1756,generous too
