,0
414,so full
415,rather small
416,big enough
417,clean and spacious
418,just perfect
419,locally owned
420,super slow
421,wrong with it
422,dry 101
423,well maintained
424,pretty quiet
425,pretty damn good
426,quite spicy
427,hard to come by
428,real good
429,close to my house
430,all amazing
431,so upset
432,a little high
433,absolutely ridiculous
434,so gentle
435,dine in
436,very fatty
437,very spicy
438,fairly clean
439,close to my work
440,tastefully decorated
441,really long
442,very strong
443,full of flavor
444,pretty disappointing
445,quite disappointed
446,fresh made
447,so dry
448,super affordable
449,so flavorful
450,less than stellar
451,very uncomfortable
452,all very good
453,really small
454,super hungry
455,nicely seasoned
456,very memorable
457,very condescending
458,taste wise
459,prompt and friendly
460,so loud
461,very picky
462,any happier
463,the worse
464,consistently delicious
465,efficient and friendly
466,tired of it
467,story short
468,a bit better
469,quite delicious
470,very fun
471,way too salty
472,slightly higher
473,no more
474,something wrong
475,very own
476,very painful
477,too special
478,very greasy
479,good to go
480,very informative
481,mildly spicy
482,more reasonable
483,pretty reasonable
484,pretty basic
485,a little more expensive
486,more comfortable
487,out of the way
488,fast and efficient
489,pretty large
490,as cheap
491,really hot
492,slightly larger
493,how large
494,really fun
495,super convenient
496,so little
497,food wise
498,new to the area
499,decent enough
500,cold and soggy
501,run down
502,a bit bland
503,so refreshing
504,exceptionally friendly
505,very unhappy
506,extremely bad
507,much bigger
508,good food
509,so unprofessional
510,pretty expensive
511,only bad
512,how small
513,absolutely beautiful
514,green and red
515,so large
516,close enough
517,very important to me
518,sure enough
519,so fun
520,quite salty
521,quick and efficient
522,super rude
523,7 oz
524,close to the airport
525,so disappointed
526,full and happy
527,spicy and delicious
528,really sure
529,little better
530,a little disappointing
531,not too salty
532,a little longer
533,extremely fresh
534,very consistent
535,very nervous
536,relatively fast
537,well enough
538,super crowded
539,fine by me
540,open 24 hrs
541,very light
542,family owned
543,absolutely incredible
544,extremely attentive
545,very basic
546,worth the trip
547,nice and hot
548,a little
549,over priced
550,not impressed
551,just wonderful
552,very specific
553,smooth and delicious
554,how cheap
555,wrong with this place
556,so friendly and helpful
557,too dry
558,extremely bland
559,even sure
560,most other
561,very strange
562,friendly helpful
563,very tiny
564,so salty
565,most tender
566,tender and juicy
567,excellent and friendly
568,a little hard
569,really surprised
570,hole in the wall
571,least favorite
572,pleasant and helpful
573,incredibly nice
574,over easy
575,just alright
576,super dirty
577,extremely salty
578,so tough
579,just mediocre
580,extremely poor
581,downright rude
582,very tough
583,nice and attentive
584,hot or cold
585,quite high
586,super knowledgeable
587,wonderful too
588,absolutely delicious
589,quite bland
590,very laid
591,worse and worse
592,well oiled
593,a bit hard
594,relatively small
595,as delicious
596,most favorite
597,very last
598,first and last
599,great and fast
600,extremely pleasant
601,good and fresh
602,pretty darn
603,extremely unprofessional
604,hard for me
605,pretty pricey
606,very typical
607,very rich
608,very special
609,relatively new
610,pretty unique
611,very surprised
612,very nice and clean
613,pretty thin
614,so nice and friendly
615,very pleasantly surprised
616,so called
617,super easy
618,so beautiful
619,more pleased
620,very close
621,sweet and salty
622,so thick
623,highly enough
624,fairly tasty
625,warm and friendly
626,perfectly fried
627,too heavy
628,good ole
629,most comfortable
630,totally reasonable
631,ridiculously long
632,very gentle
633,a little long
634,nice cozy
635,super spicy
636,really amazing
637,really cheap
638,not cheap
639,well trained
640,so thankful
641,close to work
642,nice and fresh
643,quite dry
644,close to home
645,plain and simple
646,nice and fluffy
647,pretty easy
648,moderately priced
649,very extensive
650,wrong with my car
651,really annoying
652,quite impressive
653,not too spicy
654,cheap too
655,short on time
656,out of bread
657,spicy enough
658,a bit higher
659,perfectly crispy
660,pretty low
661,needless to say we
662,out great
663,a little sketchy
664,classic american
665,that good
666,long overdue
667,pretty neat
668,really special
669,non existent
670,very responsive
671,really disappointing
672,pretty authentic
673,very competent
674,warm and welcoming
675,pretty friendly
676,so uncomfortable
677,so unfriendly
678,even close
679,well behaved
680,hot enough
681,courteous and friendly
682,extremely overpriced
683,really clean
684,very sensitive
685,half empty
686,friendly and knowledgeable
687,seasoned perfectly
688,as clean
689,more popular
690,great happy
691,very relaxed
692,pretty sure
693,just awesome
694,all excellent
695,extremely tasty
696,so huge
697,super comfortable
698,so delicious
699,a little salty
700,just as good
701,pretty typical
702,friendly and warm
703,that much
704,very tasty
705,a little cramped
706,enough great
707,awesome too
708,very nice
709,very diverse
710,nice and quiet
711,absolutely worth
712,good and friendly
713,good and fast
714,moist and juicy
715,super packed
716,very patient with me
717,super gentle
718,not greasy
719,extremely reasonable
720,especially good
721,large enough
722,fairly decent
723,dry and tasteless
724,ready for us
725,consistently great
726,so awful
727,very watery
728,very apologetic
729,enough for me
730,very disappointed
731,ridiculously good
732,just awful
733,nearly empty
734,friendly too
735,sit down
736,pretty impressive
737,food good
738,just sad
739,completely disappointed
740,sweet and sour
741,great and friendly
742,very mild
743,not busy
744,very fresh and tasty
745,out of luck
746,other than that
747,incredibly rude
748,freshly squeezed
749,open 24 hours
750,quite reasonable
751,always fresh
752,so low
753,super amazing
754,very unpleasant
755,excellent too
756,as amazing
757,not really sure
758,very impressed
759,very obvious
760,fresh at all
761,extremely good
762,pretty steep
763,the most comfortable
764,fairly new
765,pretty gross
766,pretty sad
767,great for the price
768,generally good
769,so embarrassed
770,pretty fresh
771,very knowledgeable and friendly
772,nice and warm
773,family run
774,busy so
775,very warm
776,very clean and modern
777,most unprofessional
778,less than average
779,just fantastic
780,slightly more
781,pain free
782,how happy
783,most incredible
784,how close
785,not amazing
786,super small
787,very many
788,much cheaper
789,nice about it
790,friendly at all
791,good to me
792,too short
793,as nice
794,store bought
795,half full
796,pretty amazing
797,so authentic
798,fairly fast
799,equally great
800,super thin
801,only down
802,very compassionate
803,almost full
804,very awkward
805,too soft
806,really funny
807,hard to describe
808,very grateful
809,nothing amazing
810,mouth watering
811,pretty spacious
812,not crowded
813,relatively empty
814,perfect for me
815,friendly and great
816,far superior
817,hormone free
818,not helpful
819,still hungry
820,home made
821,particularly good
822,nearly as good
823,extremely high
824,kind of annoying
825,really high
826,most pleasant
827,absolutely gorgeous
828,truly great
829,a bit bigger
830,even worth
831,patient with me
832,really fatty
833,super salty
834,nice and spicy
835,so much easier
836,very dirty
837,very narrow
838,so perfect
839,a tad pricey
840,still delicious
841,pleasant enough
842,really slow
843,quite rude
844,crispy and tasty
845,fairly small
846,bigger and better
847,good and affordable
848,too watery
849,pretty delicious
850,too thin
851,really hard
852,very helpful and friendly
853,super hot
854,the closest
855,delicious too
856,not friendly
857,a bit soggy
858,super picky
859,really expensive
860,too fancy
861,full of flavour
862,extra spicy
863,fresh and good
864,worth 5 stars
865,a little thicker
866,almost nonexistent
867,a little crowded
868,very beautiful
869,more upscale
870,more pleasant
871,friendly and prompt
872,crispy and delicious
873,out wrong
874,interested in
875,a bit more
876,still warm
877,super impressed
878,half priced
879,a bit tough
880,very nice and helpful
881,so pleased
882,that great
883,super crispy
884,not too hot
885,super quick
886,so slow
887,even bigger
888,highly rated
889,very cheesy
890,more positive
891,overall great
892,entirely different
893,super thick
894,lucky for me
895,pretty dead
896,laid back
897,modern and clean
898,fast and courteous
899,absolutely awful
900,a little tricky
901,so pleasant
902,quite spacious
903,relatively high
904,amazing and delicious
905,medium sized
906,exactly cheap
907,so bland
908,pretty rude
909,absolutely fantastic
910,a bit odd
911,very minor
912,happy with
913,very friendly and welcoming
914,a bit long
915,super accommodating
916,far more
917,vegetarian and vegan
918,very confusing
919,impressed with the food
920,less sweet
921,fairly cheap
922,slightly sweet
923,most unique
924,so easy
925,very awesome
926,easy to miss
927,clean and bright
928,much lower
929,never ending
930,nice and crisp
931,not very busy
932,not open
933,very chewy
934,usually good
935,really more
936,much to be desired
937,crazy busy
938,very friendly and knowledgeable
939,very rough
940,always friendly
941,very organized
942,entirely too much
943,so friendly and welcoming
944,very open
945,very attentive and nice
946,important to you
947,a little too sweet
948,good but not great
949,very minimal
950,very upbeat
951,really tough
952,busy friday
953,next to it
954,slightly spicy
955,very pleasing
956,awesome happy
957,pretty sweet
958,very underwhelming
959,a little less
960,sick to my stomach
961,least expensive
962,a little nervous
963,highly disappointed
964,dog friendly
965,almost impossible
966,wide open
967,quite expensive
968,good or bad
969,so patient
970,really good
971,very friendly
972,a bit overcooked
973,loaded baked
974,quick and courteous
975,oddly enough
976,life changing
977,most affordable
978,extremely stressful
979,so bad
980,very understanding
981,longer than usual
982,moist and tender
983,perfectly acceptable
984,warm and fuzzy
985,glad we did
986,so disappointing
987,slightly pricier
988,enough about this place
989,busy saturday
990,really happy
991,very prompt
992,nice and helpful
993,a bit undercooked
994,little pricey
995,cheap and delicious
996,very safe
997,a bit nervous
998,especially great
999,super personable
1000,no longer available
1001,new and clean
1002,too high for what you get
1003,too close
1004,delicious and perfect
1005,completely worth
1006,20 years old
1007,always consistent
1008,nice and soft
1009,rock hard
1010,both delicious
1011,very timely
1012,close to my home
1013,very tight
1014,a lot easier
1015,hot and juicy
1016,overall good
1017,dry and chewy
1018,so limited
1019,very upscale
1020,very wide
1021,overly impressed
1022,very plain
1023,a little burnt
1024,very very nice
1025,so pleasantly surprised
1026,completely clueless
1027,really knowledgeable
1028,delicious all the same
1029,so sick
1030,very watered down
1031,good other
1032,fairly standard
1033,fully packed
1034,as busy
1035,so crispy
1036,relatively painless
1037,a bit chewy
1038,good in my book
1039,very fresh
1040,quick and painless
1041,very unfriendly
1042,dry and overcooked
1043,absolutely outstanding
1044,very soft
1045,any and all
1046,way too small
1047,wrong with that
1048,big and clean
1049,way overcooked
1050,too mild
1051,so soft
1052,a little tight
1053,decent for the price
1054,nothing worse
1055,a little too salty
1056,wrong with them
1057,pretty much every
1058,house made
1059,so fast
1060,so shocked
1061,somewhat friendly
1062,non vegan
1063,neat and clean
1064,so relaxed
1065,a little worried
1066,more than satisfied
1067,set up
1068,way less
1069,very welcome
1070,so that
1071,time consuming
1072,a little sour
1073,very cramped
1074,quite different
1075,pretty limited
1076,very boring
1077,more efficient
1078,owned and operated
1079,half hearted
1080,incredibly fresh
1081,hot and cold
1082,all friendly
1083,better and cheaper
1084,supposedly made
1085,able to fix my problem after coming out twice
1086,not overly salty
1087,a bit different
1088,as fresh
1089,only half full
1090,super smooth
1091,quite big
1092,friendly and clean
1093,a true professional
1094,fast and attentive
1095,kid friendly
1096,very friendly and informative
1097,really quick
1098,super long
1099,hot and tasty
1100,just wrong
1101,any worse
1102,always good
1103,tough and chewy
1104,not spicy
1105,sad to say
1106,good and consistent
1107,tried and true
1108,relatively cheap
1109,just bad
1110,convenient for me
1111,perfectly honest
1112,a little cold
1113,really really good
1114,ready in 10 minutes
1115,extremely difficult
1116,much less
1117,quite authentic
1118,completely relaxed
1119,very crunchy
1120,well prepared
1121,clean and neat
1122,really disappointed
1123,a little much
1124,too hungry
1125,nice and light
1126,happy and full
1127,dirty and disgusting
1128,happy i did
1129,really uncomfortable
1130,not healthy
1131,close to school
1132,not free
1133,incredibly slow
1134,short handed
1135,very friendly and professional
1136,funny enough
1137,super relaxed
1138,most entertaining
1139,pretty happy
1140,very knowledgeable and professional
1141,fresh and flavorful
1142,clearly visible
1143,slightly chewy
1144,sooo much
1145,clean and great
1146,a little grainy
1147,pretty consistent
1148,really tender
1149,most difficult
1150,patient and kind
1151,overly greasy
1152,dry on this visit
1153,more peaceful
1154,most wonderful
1155,super flavorful
1156,a lot nicer
1157,fast and prompt
1158,all fresh
1159,so peaceful
1160,fine with me
1161,really upset
1162,very intimate
1163,very generic
1164,so grateful
1165,practically empty
1166,pretty packed
1167,especially nice
1168,good quality
1169,built in
1170,pretty hungry
1171,so gracious
1172,seriously good
1173,kind of soggy
1174,so expensive
1175,very unorganized
1176,very kind
1177,so terrified
1178,small enough
1179,absolutely delightful
1180,black and white
1181,all great
1182,a little odd
1183,still great
1184,all halal
1185,very filling
1186,extremely nice and helpful
1187,a little annoying
1188,soooo good
1189,extremely fair
1190,very attractive
1191,open faced
1192,better tasting
1193,great with her
1194,so pretty
1195,not so great
1196,very cozy
1197,extremely fast
1198,green spicy
1199,really picky
1200,super professional
1201,fresh and yummy
1202,so accommodating
1203,so high
1204,pretty flavorless
1205,close to unlv
1206,most interesting
1207,only okay
1208,totally worth it
1209,more impressed
1210,slightly thinner
1211,so creamy and delicious
1212,enough nice
1213,better or worse
1214,most awkward
1215,pretty disgusting
1216,very comforting
1217,tender and tasty
1218,soft and yummy
1219,really strong
1220,the greatest
1221,really excited
1222,fresh enough
1223,pretty picky
1224,dry and flavorless
1225,very important
1226,meat based
1227,tender juicy
1228,super dry
1229,pretty clear
1230,very positive
1231,absolute best
1232,very weak
1233,half bad
1234,really important
1235,too difficult
1236,quite low
1237,very solid
1238,way too expensive
1239,extremely loud
1240,extra large
1241,how terrible
1242,so nasty
1243,so terrible
1244,long hot
1245,great for groups
1246,really neat
1247,courteous and professional
1248,most disgusting
1249,all fantastic
1250,nice and strong
1251,overcooked and dry
1252,the ayce japanese
1253,very appetizing
1254,cheap and good
1255,fresh and crunchy
1256,decently sized
1257,poorly managed
1258,a little greasy
1259,the bad
1260,extremely tender
1261,good fried
1262,sky high
1263,warm and fresh
1264,short and sweet
1265,as best
1266,stir fried
1267,much more enjoyable
1268,so much good
1269,friendly attentive
1270,nearly impossible
1271,money hungry
1272,easy to get to
1273,more adventurous
1274,a bit disorganized
1275,chinese korean
1276,not clean
1277,really pleasant
1278,somewhat full
1279,a little sad
1280,slightly above
1281,more fresh
1282,super bland
1283,pretty extensive
1284,extremely easy
1285,right on the money
1286,absolutely no
1287,definitely good
1288,cooked perfectly
1289,very fishy
1290,very dense
1291,completely free
1292,exceptionally clean
1293,incredibly helpful
1294,pretty generous
1295,chinese and korean
1296,quite empty
1297,fresh on site
1298,so thinly
1299,so inexpensive
1300,too bright
1301,really spicy
1302,a little different
1303,extremely friendly and professional
1304,plastic like
1305,pretty chill
1306,how sad
1307,particularly bad
1308,a little sweet
1309,god awful
1310,very reliable
1311,a little difficult
1312,so flavourful
1313,not horrible
1314,too crispy
1315,really pricey
1316,not hot
1317,completely satisfied
1318,great food
1319,otherwise delicious
1320,about average
1321,pretty annoying
1322,pretty fair
1323,nice looking
1324,right on
1325,a whole lot better
1326,completely sure
1327,out of stock
1328,really low
1329,ready to leave
1330,just weird
1331,very doughy
1332,perfect for lunch
1333,about right
1334,loud enough
1335,all really good
1336,super polite
1337,very knowledgable
1338,nice covered
1339,slightly uncomfortable
1340,small sized
1341,quite loud
1342,extremely greasy
1343,so strong
1344,incredibly long
1345,first and only
1346,made to order
1347,incredibly clean
1348,good check
1349,equally amazing
1350,close to me
1351,quite impressed
1352,clean and friendly
1353,very pricey
1354,very lucky
1355,vegan friendly
1356,so welcoming
1357,quick and attentive
1358,very competitive
1359,hard to do
1360,really enjoyable
1361,very appealing
1362,super nice and helpful
1363,professional and friendly
1364,slightly dry
1365,kind of empty
1366,not to love
1367,very polite and helpful
1368,well designed
1369,a bit skeptical
1370,a little cheaper
1371,how unprofessional
1372,all very nice
1373,more detailed
1374,completely wrong
1375,comfortable and welcome
1376,extremely sweet
1377,this difficult
1378,most flavorful
1379,very inconsistent
1380,how little
1381,pretty crowded
1382,very fancy
1383,walk in
1384,pleased with the service
1385,open on sundays
1386,all customers important
1387,so damn good
1388,more interested
1389,kind of bland
1390,sure we will be back
1391,a bit expensive
1392,great to try a new place for breakfast
1393,two years old
1394,hectic at times
1395,quick for the waitress
1396,terrible about the entire incident
1397,pull up
1398,stressful or unnecessary
1399,delighted to assist our family
1400,generous with the a 40 gratuity tip
1401,easy to understand
1402,all better
1403,red and white
1404,too full
1405,great laid
1406,truly amazing
1407,quite long
1408,totally comfortable
1409,amazingly delicious
1410,enough of
1411,totally awesome
1412,incredibly good
1413,high tech
1414,friendly and nice
1415,super reasonable
1416,not so good
1417,cold and hot
1418,very professional and helpful
1419,really talented
1420,huge and delicious
1421,spotlessly clean
1422,hard to beat
1423,a little less expensive
1424,very social
1425,fresh and authentic
1426,way too sweet
1427,very pretty
1428,really old
1429,so lucky
1430,super excited
1431,not many
1432,so weak
1433,full of msg
1434,even apologetic
1435,very heavy
1436,not expensive
1437,most depressing
1438,very engaging
1439,really crowded
1440,almost as good
1441,any good
1442,happy hour
1443,a little hot
1444,very clean and comfortable
1445,very well
1446,a little confusing
1447,free happy
1448,very late
1449,pretty slow
1450,completely new
1451,too dense
1452,super nice and attentive
1453,so nice and helpful
1454,relatively quick
1455,very vague
1456,fairly long
1457,most basic
1458,loud and obnoxious
1459,wrong with anything
1460,really full
1461,black and blue
1462,special about it
1463,pleased with the food
1464,marginally better
1465,service oriented
1466,just good
1467,more enjoyable
1468,easy to find
1469,too fatty
1470,so friendly and professional
1471,friendly and welcoming
1472,a tad high
1473,so old
1474,great spicy
1475,fairly simple
1476,as well
1477,nice comfortable
1478,the coolest
1479,best japanese
1480,very noisy
1481,a little awkward
1482,still amazing
1483,perfectly fine
1484,very happy with my experience
1485,all worth
1486,more than reasonable
1487,authentic japanese
1488,fast casual
1489,absolutely fabulous
1490,extremely pleased
1491,clean and nice
1492,nice and juicy
